first_name,last_name,username,email,password,phone,gender,dob
Adetunji,Olawale,adetunji50,adetunji.olawale@gmail.com,adetunji_olawale_901,08117654321,Male,07/14/1981
Nneka,Ugwu,nneka51,nneka.ugwu@gmail.com,nneka_ugwu_234,08157890123,Female,03/19/1992
Eze,Nwachukwu,eze52,eze.nwachukwu@gmail.com,eze_nwachukwu_567,08078765432,Male,05/28/1984
Chinonye,Ejiofor,chinonye53,chinonye.ejiofor@gmail.com,chinonye_ejiofor_890,08167654321,Female,12/02/1987
Obinna,Okafor,obinna54,obinna.okafor@gmail.com,obinna_okafor_123,08176543210,Male,08/15/1995
Amarachi,Onyeama,amarachi55,amarachi.onyeama@gmail.com,amarachi_onyeama_456,08095432109,Female,01/27/1988
Chukwudi,Ani,chukwudi56,chukwudi.ani@gmail.com,chukwudi_ani_789,08124321098,Male,07/04/1993
Nkem,Okeke,nkem57,nkem.okeke@gmail.com,nkem_okeke_012,08083210987,Female,09/09/1986
Adeyemi,Balogun,adeyemi58,adeyemi.balogun@gmail.com,adeyemi_balogun_345,08106543210,Male,02/18/1991
Obianuju,Okafor,obianuju59,obianuju.okafor@gmail.com,obianuju_okafor_678,08117890123,Female,04/03/1984
Abdul,Bello,abdul60,abdul.bello@gmail.com,abdul_bello_901,08068765432,Male,11/30/1997
Adebisi,Akindele,adebisi01,adebisi.akin@gmail.com,adebisi_akin_123,07012345678,Female,04/18/1990
Chukwudi,Okoro,chukwudi02,chukwudi.okoro@gmail.com,chukwudi_okoro_456,08023456789,Male,11/23/1985
Yewande,Adewale,yewande03,yewande.adewale@gmail.com,yewande_adewale_789,08034567890,Female,08/15/1988
Oluwatobi,Akinwumi,tobi04,tobi.akinwumi@gmail.com,tobi_akinwumi_012,07019876543,Male,06/12/1992
Chidinma,Eze,chidinma05,chidinma.eze@gmail.com,chidinma_eze_456,08028765432,Female,03/25/1987
Abubakar,Mohammed,abubakar06,abubakar.m@gmail.com,abubakar_mohammed_789,08065432109,Male,09/09/1991
Olamide,Adekoya,olamide07,olamide.adekoya@gmail.com,olamide_adekoya_234,07053210987,Male,07/20/1986
Ngozi,Iheanacho,ngozi08,ngozi.iheanacho@gmail.com,ngozi_iheanacho_567,07012345678,Female,02/14/1989
Muhammed,Bala,muhammed09,muhammed.bala@gmail.com,muhammed_bala_890,07034567890,Male,05/30/1993
Ayomide,Ogundipe,ayomide10,ayomide.ogundipe@gmail.com,ayomide_ogundipe_678,07089876543,Male,12/08/1984
Chinwe,Igwe,chinwe11,chinwe.igwe@gmail.com,chinwe_igwe_012,07048765432,Female,10/17/1990
Ahmed,Sani,ahmed12,ahmed.sani@gmail.com,ahmed_sani_345,08023210987,Male,06/28/1985
Folake,Adebayo,folake13,folake.adebayo@gmail.com,folake_adebayo_678,07016543210,Female,09/03/1988
Chijioke,Nwankwo,chijioke14,chijioke.nwankwo@gmail.com,chijioke_nwankwo_901,08061234567,Male,04/26/1992
Bukola,Salisu,bukola15,bukola.salisu@gmail.com,bukola_salisu_234,07058765432,Female,11/11/1987
Ibrahim,Ali,ibrahim16,ibrahim.ali@gmail.com,ibrahim_ali_567,07032345678,Male,07/14/1991
Bisi,Akinlade,bisi17,bisi.akinlade@gmail.com,bisi_akinlade_890,07045678901,Female,02/20/1986
Obinna,Nwachukwu,obinna18,obinna.nwachukwu@gmail.com,obinna_nwachukwu_012,07028765432,Male,10/05/1990
Adeola,Adewuyi,adeola19,adeola.adewuyi@gmail.com,adeola_adewuyi_345,07033210987,Female,05/12/1985
Suleiman,Muhammed,suleiman20,suleiman.m@gmail.com,suleiman_muhammed_678,07096543210,Male,12/29/1988
